"ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
"91","AMAZONAS","91001","LETICIA","91001000","LETICIA (LETICIA - AMAZONAS)","2020","1","3.930.642","1.251.191","7.768,76","lunes","2020 Jan 27 02:15:00 PM","24"
"91","AMAZONAS","91540","PUERTO NARIÑO","91540000","PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS)","2020","1","103.897","36.304","227,04","miércoles","2020 Jan 22 07:15:00 PM","24"
"91","AMAZONAS","91798","TARAPACÁ (ANM)","91798000","TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS)","2020","1","22.864","9.277","88,96","jueves","2020 Jan 30 07:30:00 PM","10,19"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873001","SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA)","2020","1","5.617","1.381","53,66","jueves","2020 Jan 23 07:45:00 PM","4,13"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2020","1","2.217","539","39,07","miércoles","2020 Jan 29 07:45:00 PM","3,17"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873000","VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA)","2020","1","64.137","28.058","324,19","jueves","2020 Jan 23 09:45:00 PM","8,11"
"88","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","88564","PROVIDENCIA","88564000","PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA)","2020","1","982.117","337.077","1.671,09","viernes","2020 Jan 03 07:30:00 PM","24"
"88","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","88001","SAN ANDRÉS","88001000","SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA)","2020","1","16.666.323","4.824.581","28.619,27","viernes","2020 Jan 03 03:45:00 PM","24"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","13001007","ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR)","2020","1","16.797","8.887","135,85","sábado","2020 Jan 04 03:30:00 PM","5,26"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","13001037","ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR)","2020","1","10.188","4.396","31,44","sábado","2020 Jan 04 09:45:00 PM","14,6"
"13","BOLÍVAR","13001","CARTAGENA DE INDIAS","13001017","SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR)","2020","1","13.187","4.523","50,18","sábado","2020 Jan 11 10:15:00 PM","12,23"
