Date (yyyy-mm-dd),Max_temperature (°C),Min_temperature (°C),Rain (mm),Wind (km/h),Description,City
2024-01-01,25,10,1.3,5,Lluvia moderada a intervalos,Medellín
2023-01-01,18,8,3.0,3,Ligeras precipitaciones,Medellín
2022-01-01,18,10,4.0,2,Ligeras precipitaciones,Medellín
2021-01-01,21,11,12.5,4,Lluvias fuertes o moderadas,Medellín
2020-01-01,18,11,27.8,3,Lluvias fuertes o moderadas,Medellín
2019-01-01,25,10,0.0,9,Despejado,Medellín
2024-01-02,21,10,5.0,5,Ligeras precipitaciones,Medellín
2023-01-02,18,8,5.4,4,Ligeras precipitaciones,Medellín
2022-01-02,17,10,4.5,3,Ligeras precipitaciones,Medellín
2021-01-02,22,12,13.3,2,Lluvias fuertes o moderadas,Medellín
2020-01-02,22,11,14.0,2,Ligeras precipitaciones,Medellín
2019-01-02,25,10,0.0,8,Parcialmente nublado,Medellín
2024-01-03,21,10,2.7,5,Lluvia moderada a intervalos,Medellín
2023-01-03,21,12,7.2,3,Ligeras precipitaciones,Medellín
2022-01-03,20,8,1.7,5,Niebla moderada,Medellín
2021-01-03,21,11,16.6,2,Lluvias fuertes o moderadas,Medellín
2020-01-03,21,11,4.1,4,Ligeras precipitaciones,Medellín
2019-01-03,24,10,0.0,7,Despejado,Medellín
2024-01-04,25,8,1.2,5,Lluvia moderada a intervalos,Medellín
2023-01-04,19,8,3.7,5,Llovizna a intervalos,Medellín
2022-01-04,20,7,0.0,5,Neblina,Medellín
2021-01-04,21,10,4.4,2,Ligeras precipitaciones,Medellín
2020-01-04,20,12,6.0,3,Ligeras precipitaciones,Medellín
2019-01-04,25,10,0.0,6,Parcialmente nublado,Medellín
2024-01-05,27,10,0.9,6,Lluvia moderada a intervalos,Medellín
2023-01-05,19,8,3.4,3,Ligeras precipitaciones,Medellín
2022-01-05,22,10,0.4,5,Lluvia moderada a intervalos,Medellín
2021-01-05,18,10,9.5,2,Ligeras precipitaciones,Medellín
2020-01-05,21,10,4.3,4,Ligeras precipitaciones,Medellín
2019-01-05,25,11,1.5,5,Lluvia moderada a intervalos,Medellín
2024-01-06,27,13,0.1,6,Lluvia moderada a intervalos,Medellín
2023-01-06,17,10,5.9,3,Ligeras precipitaciones,Medellín
2022-01-06,19,9,1.8,4,Lluvia moderada a intervalos,Medellín
2021-01-06,22,9,2.7,4,Ligeras precipitaciones,Medellín
2020-01-06,22,9,0.1,5,Neblina,Medellín
2019-01-06,21,10,15.7,4,Lluvias fuertes o moderadas,Medellín
