Date (yyyy-mm-dd),Max_temperature (Â°C),Min_temperature (Â°C),Rain (mm),Wind (km/h),Description,City
2024-01-01,25,10,1.3,5,lluvia moderada a intervalos,medellã­n
2023-01-01,18,8,3.0,3,ligeras precipitaciones,medellã­n
2022-01-01,18,10,4.0,2,ligeras precipitaciones,medellã­n
2019-01-01,25,10,0.0,9,despejado,medellã­n
2024-01-02,21,10,5.0,5,ligeras precipitaciones,medellã­n
2023-01-02,18,8,5.4,4,ligeras precipitaciones,medellã­n
2022-01-02,17,10,4.5,3,ligeras precipitaciones,medellã­n
2019-01-02,25,10,0.0,8,parcialmente nublado,medellã­n
2024-01-03,21,10,2.7,5,lluvia moderada a intervalos,medellã­n
2023-01-03,21,12,7.2,3,ligeras precipitaciones,medellã­n
2022-01-03,20,8,1.7,5,niebla moderada,medellã­n
2020-01-03,21,11,4.1,4,ligeras precipitaciones,medellã­n
2019-01-03,24,10,0.0,7,despejado,medellã­n
2024-01-04,25,8,1.2,5,lluvia moderada a intervalos,medellã­n
2023-01-04,19,8,3.7,5,llovizna a intervalos,medellã­n
2022-01-04,20,7,0.0,5,neblina,medellã­n
2021-01-04,21,10,4.4,2,ligeras precipitaciones,medellã­n
2020-01-04,20,12,6.0,3,ligeras precipitaciones,medellã­n
2019-01-04,25,10,0.0,6,parcialmente nublado,medellã­n
2024-01-05,27,10,0.9,6,lluvia moderada a intervalos,medellã­n
2023-01-05,19,8,3.4,3,ligeras precipitaciones,medellã­n
2022-01-05,22,10,0.4,5,lluvia moderada a intervalos,medellã­n
2020-01-05,21,10,4.3,4,ligeras precipitaciones,medellã­n
2019-01-05,25,11,1.5,5,lluvia moderada a intervalos,medellã­n
2024-01-06,27,13,0.1,6,lluvia moderada a intervalos,medellã­n
2023-01-06,17,10,5.9,3,ligeras precipitaciones,medellã­n
2022-01-06,19,9,1.8,4,lluvia moderada a intervalos,medellã­n
2021-01-06,22,9,2.7,4,ligeras precipitaciones,medellã­n
2020-01-06,22,9,0.1,5,neblina,medellã­n
2024-01-07,26,12,0.3,6,lluvia moderada a intervalos,medellã­n
2023-01-07,18,9,3.6,4,ligeras precipitaciones,medellã­n
2022-01-07,17,8,6.6,4,ligeras precipitaciones,medellã­n
2021-01-07,22,14,7.7,4,lluvias fuertes o moderadas,medellã­n
2020-01-07,22,10,1.1,4,lluvia moderada a intervalos,medellã­n
2019-01-07,23,11,4.2,4,niebla moderada,medellã­n
2024-01-08,25,9,0.6,6,lluvia moderada a intervalos,medellã­n
2023-01-08,19,9,7.3,2,ligeras precipitaciones,medellã­n
2022-01-08,17,9,3.4,3,ligeras precipitaciones,medellã­n
2020-01-08,22,11,0.5,7,neblina,medellã­n
2019-01-08,20,11,4.5,3,llovizna,medellã­n
2024-01-09,28,10,0.6,6,lluvia moderada a intervalos,medellã­n
2022-01-09,20,8,3.3,4,ligeras precipitaciones,medellã­n
2020-01-09,23,10,0.0,7,parcialmente nublado,medellã­n
2024-01-10,25,14,0.4,6,lluvia moderada a intervalos,medellã­n
2023-01-10,17,9,4.6,3,ligeras precipitaciones,medellã­n
2022-01-10,18,10,2.5,4,ligeras precipitaciones,medellã­n
2020-01-10,27,12,0.0,6,neblina,medellã­n
2024-01-11,25,10,4.6,5,niebla moderada,medellã­n
2023-01-11,17,8,1.2,3,niebla moderada,medellã­n
2022-01-11,17,10,1.6,2,ligeras precipitaciones,medellã­n
2020-01-11,22,13,0.0,6,parcialmente nublado,medellã­n
2019-01-11,20,10,2.2,3,lluvia moderada a intervalos,medellã­n
2024-01-12,24,9,6.0,4,ligeras precipitaciones,medellã­n
2023-01-12,18,8,2.0,5,ligeras precipitaciones,medellã­n
2022-01-12,21,9,2.5,2,ligeras precipitaciones,medellã­n
2020-01-12,23,11,0.4,7,lluvia moderada a intervalos,medellã­n
2019-01-12,19,11,3.5,3,llovizna,medellã­n
2024-01-13,22,8,5.3,5,niebla moderada,medellã­n
2023-01-13,19,8,4.1,2,niebla moderada,medellã­n
2022-01-13,21,12,2.9,2,ligeras precipitaciones,medellã­n
2021-01-13,21,10,7.9,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-01-13,22,11,1.5,6,lluvia moderada a intervalos,medellã­n
2024-01-14,21,8,0.8,6,niebla moderada,medellã­n
2023-01-14,18,8,6.0,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-01-14,20,9,3.6,4,ligeras precipitaciones,medellã­n
2024-01-15,26,10,0.1,7,lluvia moderada a intervalos,medellã­n
2023-01-15,21,9,3.7,5,ligeras precipitaciones,medellã­n
2022-01-15,18,8,0.7,5,lluvia moderada a intervalos,medellã­n
2021-01-15,19,10,7.4,4,ligeras precipitaciones,medellã­n
2024-01-16,23,9,0.0,8,parcialmente nublado,medellã­n
2022-01-16,21,10,0.2,5,lluvia moderada a intervalos,medellã­n
2021-01-16,21,10,3.8,3,ligeras precipitaciones,medellã­n
2020-01-16,22,10,0.5,7,lluvia moderada a intervalos,medellã­n
2024-01-17,27,9,0.1,9,lluvia moderada a intervalos,medellã­n
2023-01-17,22,14,2.7,5,ligeras precipitaciones,medellã­n
2022-01-17,20,9,1.0,5,lluvia moderada a intervalos,medellã­n
2021-01-17,22,9,2.0,4,lluvia moderada a intervalos,medellã­n
2020-01-17,23,12,0.3,9,parcialmente nublado,medellã­n
2024-01-18,27,10,0.2,8,lluvia moderada a intervalos,medellã­n
2022-01-18,20,9,0.6,5,lluvia moderada a intervalos,medellã­n
2021-01-18,20,10,5.3,5,lluvia moderada a intervalos,medellã­n
2020-01-18,26,12,0.1,8,neblina,medellã­n
2019-01-18,24,11,0.3,6,neblina,medellã­n
2023-01-19,25,11,1.7,4,ligeras precipitaciones,medellã­n
2022-01-19,19,9,0.3,5,niebla moderada,medellã­n
2021-01-19,22,10,1.4,6,lluvia moderada a intervalos,medellã­n
2020-01-19,27,14,0.7,5,lluvia moderada a intervalos,medellã­n
2019-01-19,24,11,0.3,5,llovizna a intervalos,medellã­n
2023-01-20,22,10,2.4,5,lluvia moderada a intervalos,medellã­n
2022-01-20,21,8,0.0,5,neblina,medellã­n
2021-01-20,20,11,5.0,5,lluvia moderada a intervalos,medellã­n
2019-01-20,23,12,4.4,6,ligeras precipitaciones,medellã­n
2024-01-21,25,11,4.6,6,lluvia moderada a intervalos,medellã­n
2023-01-21,20,9,3.0,4,ligeras precipitaciones,medellã­n
2022-01-21,24,9,1.5,5,lluvia moderada a intervalos,medellã­n
2024-01-22,27,10,0.2,7,lluvia moderada a intervalos,medellã­n
2023-01-22,18,8,3.3,4,niebla moderada,medellã­n
2022-01-22,23,11,2.2,5,niebla moderada,medellã­n
2021-01-22,25,10,5.0,4,lluvia moderada a intervalos,medellã­n
2019-01-22,25,11,0.3,7,neblina,medellã­n
2024-01-23,27,10,0.1,8,lluvia moderada a intervalos,medellã­n
2023-01-23,21,8,1.9,5,niebla moderada,medellã­n
2022-01-23,26,10,1.2,5,niebla moderada,medellã­n
2019-01-23,26,11,0.1,6,parcialmente nublado,medellã­n
2024-01-24,26,9,0.0,7,lluvia moderada a intervalos,medellã­n
2023-01-24,24,9,2.2,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-01-24,22,11,1.8,5,ligeras precipitaciones,medellã­n
2019-01-24,24,11,0.2,6,parcialmente nublado,medellã­n
2024-01-25,24,9,1.0,7,lluvia moderada a intervalos,medellã­n
2023-01-25,19,9,1.9,5,lluvia moderada a intervalos,medellã­n
2022-01-25,20,10,4.9,3,ligeras precipitaciones,medellã­n
2020-01-25,21,10,5.8,4,lluvia moderada a intervalos,medellã­n
2019-01-25,21,11,7.5,6,lluvias fuertes o moderadas,medellã­n
2024-01-26,25,10,2.3,6,lluvia moderada a intervalos,medellã­n
2023-01-26,21,8,0.8,5,niebla moderada,medellã­n
2022-01-26,24,10,1.7,4,niebla moderada,medellã­n
2019-01-26,25,12,0.6,6,llovizna,medellã­n
2024-01-27,26,10,3.1,6,niebla moderada,medellã­n
2023-01-27,28,7,0.2,6,lluvia moderada a intervalos,medellã­n
2022-01-27,23,9,1.3,4,ligeras precipitaciones,medellã­n
2021-01-27,22,10,2.0,4,lluvia moderada a intervalos,medellã­n
2019-01-27,21,12,6.8,4,ligeras precipitaciones,medellã­n
2024-01-28,27,9,1.7,7,despejado,medellã­n
2023-01-28,25,10,0.2,6,lluvia moderada a intervalos,medellã­n
2022-01-28,20,8,1.0,5,niebla moderada,medellã­n
2024-01-29,28,12,2.3,7,lluvia moderada a intervalos,medellã­n
2022-01-29,20,9,1.1,5,lluvia moderada a intervalos,medellã­n
2021-01-29,21,10,1.2,5,lluvia moderada a intervalos,medellã­n
2019-01-29,23,11,7.3,4,niebla moderada,medellã­n
2024-01-30,21,11,7.3,5,ligeras precipitaciones,medellã­n
2023-01-30,22,9,1.3,6,lluvia moderada a intervalos,medellã­n
2022-01-30,19,7,0.0,6,parcialmente nublado,medellã­n
2021-01-30,23,10,4.6,5,lluvia moderada a intervalos,medellã­n
2019-01-30,21,14,3.7,4,ligeras precipitaciones,medellã­n
2024-01-31,26,11,5.5,5,lluvia moderada a intervalos,medellã­n
2023-01-31,21,7,1.3,5,lluvia moderada a intervalos,medellã­n
2022-01-31,20,7,0.4,6,ligeras precipitaciones,medellã­n
2021-01-31,24,15,0.2,6,lluvia moderada a intervalos,medellã­n
2019-01-31,19,14,3.0,3,llovizna,medellã­n
2024-02-01,25,11,4.4,6,ligeras precipitaciones,medellã­n
2023-02-01,19,9,5.0,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-01,22,10,0.1,6,lluvia moderada a intervalos,medellã­n
2021-02-01,23,12,6.3,4,lluvia moderada a intervalos,medellã­n
2019-02-01,25,13,3.9,4,lluvia moderada a intervalos,medellã­n
2022-02-02,19,8,1.8,5,lluvia moderada a intervalos,medellã­n
2023-02-03,23,8,4.6,5,ligeras precipitaciones,medellã­n
2022-02-03,19,7,2.4,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-02-03,22,10,5.0,4,lluvia moderada a intervalos,medellã­n
2019-02-03,25,12,2.3,6,ligeras precipitaciones,medellã­n
2022-02-04,19,8,2.6,3,ligeras precipitaciones,medellã­n
2020-02-04,24,11,2.1,5,lluvia moderada a intervalos,medellã­n
2023-02-05,28,8,1.5,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-05,21,11,5.0,2,ligeras precipitaciones,medellã­n
2020-02-05,27,13,1.3,5,lluvia moderada a intervalos,medellã­n
2023-02-06,23,8,1.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-02-06,24,12,1.4,5,lluvia moderada a intervalos,medellã­n
2024-02-07,21,10,5.9,5,ligeras precipitaciones,medellã­n
2023-02-07,25,13,0.7,7,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-07,23,9,2.9,4,ligeras precipitaciones,medellã­n
2021-02-07,24,14,5.6,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2020-02-07,23,12,3.3,5,lluvia moderada a intervalos,medellã­n
2024-02-08,23,11,1.6,7,niebla moderada,medellã­n
2023-02-08,23,12,2.6,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-08,24,10,3.6,4,ligeras precipitaciones,medellã­n
2020-02-08,23,10,2.9,5,lluvia moderada a intervalos,medellã­n
2024-02-09,26,14,1.1,7,lluvia moderada a intervalos,medellã­n
2023-02-09,22,13,2.6,4,ligeras precipitaciones,medellã­n
2022-02-09,19,10,5.1,4,ligeras precipitaciones,medellã­n
2020-02-09,22,10,3.1,5,lluvia moderada a intervalos,medellã­n
2023-02-10,25,14,1.4,4,lluvia moderada a intervalos,medellã­n
2022-02-10,24,9,2.7,5,ligeras precipitaciones,medellã­n
2020-02-10,21,11,5.6,5,lluvia moderada a intervalos,medellã­n
2024-02-11,27,12,2.8,6,lluvia moderada a intervalos,medellã­n
2023-02-11,21,10,3.2,4,llovizna,medellã­n
2022-02-11,25,10,0.7,5,lluvia moderada a intervalos,medellã­n
2020-02-11,22,11,0.8,5,lluvia moderada a intervalos,medellã­n
2024-02-12,26,11,1.4,6,lluvia moderada a intervalos,medellã­n
2023-02-12,25,10,2.0,5,lluvia moderada a intervalos,medellã­n
2020-02-12,23,11,0.8,5,lluvia moderada a intervalos,medellã­n
2024-02-13,26,11,3.3,6,lluvia moderada a intervalos,medellã­n
2023-02-13,22,10,3.6,5,ligeras precipitaciones,medellã­n
2022-02-13,24,11,4.1,4,ligeras precipitaciones,medellã­n
2020-02-13,22,13,3.3,5,lluvia moderada a intervalos,medellã­n
2024-02-14,24,10,1.1,6,lluvia moderada a intervalos,medellã­n
2023-02-14,24,13,4.9,3,ligeras precipitaciones,medellã­n
2022-02-14,22,13,5.2,4,ligeras precipitaciones,medellã­n
2024-02-15,27,9,0.0,8,parcialmente nublado,medellã­n
2023-02-15,22,13,3.9,3,ligeras precipitaciones,medellã­n
2022-02-15,24,11,1.2,5,niebla moderada,medellã­n
2019-02-15,24,12,7.3,6,lluvias fuertes o moderadas,medellã­n
2024-02-16,28,13,1.6,6,lluvia moderada a intervalos,medellã­n
2023-02-16,22,10,5.3,2,ligeras precipitaciones,medellã­n
2022-02-16,20,10,1.5,5,lluvia moderada a intervalos,medellã­n
2023-02-17,23,10,4.3,4,ligeras precipitaciones,medellã­n
2022-02-17,22,9,2.5,5,ligeras precipitaciones,medellã­n
2021-02-17,20,11,7.7,3,ligeras precipitaciones,medellã­n
2020-02-17,21,11,3.8,7,lluvia moderada a intervalos,medellã­n
2024-02-18,25,11,4.7,6,lluvia moderada a intervalos,medellã­n
2022-02-18,19,10,4.3,4,ligeras precipitaciones,medellã­n
2024-02-19,26,10,3.2,6,lluvia moderada a intervalos,medellã­n
2023-02-19,28,7,0.8,6,lluvia moderada a intervalos,medellã­n
2022-02-19,24,11,4.2,4,ligeras precipitaciones,medellã­n
2024-02-20,27,9,4.4,6,lluvia moderada a intervalos,medellã­n
2023-02-20,20,9,5.9,5,lluvias fuertes o moderadas,medellã­n
2022-02-20,17,9,3.4,2,ligeras precipitaciones,medellã­n
2024-02-21,27,11,3.8,6,lluvia moderada a intervalos,medellã­n
2023-02-21,20,7,4.8,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-21,21,9,2.0,4,niebla moderada,medellã­n
2024-02-22,21,10,4.6,5,ligeras precipitaciones,medellã­n
2023-02-22,26,9,1.7,5,lluvia moderada a intervalos,medellã­n
2022-02-22,20,10,1.3,5,lluvia moderada a intervalos,medellã­n
2023-02-23,27,8,1.1,5,lluvia moderada a intervalos,medellã­n
2022-02-23,23,9,4.1,5,ligeras precipitaciones,medellã­n
2024-02-24,25,14,5.6,6,ligeras precipitaciones,medellã­n
2023-02-24,24,12,0.9,6,lluvia moderada a intervalos,medellã­n
2022-02-24,22,10,2.8,3,ligeras precipitaciones,medellã­n
2021-02-24,23,13,6.2,6,lluvia moderada a intervalos,medellã­n
2023-02-25,24,10,1.5,6,lluvia moderada a intervalos,medellã­n
2024-02-26,27,14,3.0,7,lluvia moderada a intervalos,medellã­n
2023-02-26,23,11,2.7,5,lluvia moderada a intervalos,medellã­n
2022-02-26,24,14,3.1,4,ligeras precipitaciones,medellã­n
2020-02-26,21,12,7.3,4,ligeras precipitaciones,medellã­n
2024-02-27,25,11,4.8,7,llovizna a intervalos,medellã­n
2023-02-27,27,11,1.5,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-02-27,17,15,4.4,2,ligeras precipitaciones,medellã­n
2024-02-28,27,10,2.5,7,niebla moderada,medellã­n
2023-02-28,23,10,1.7,6,lluvia moderada a intervalos,medellã­n
2022-02-28,20,10,5.8,2,ligeras precipitaciones,medellã­n
2020-02-28,23,10,6.8,5,lluvia moderada a intervalos,medellã­n
2024-02-29,25,10,2.5,7,lluvia moderada a intervalos,medellã­n
2024-03-01,25,10,2.2,7,lluvia moderada a intervalos,medellã­n
2023-03-01,18,10,2.1,4,ligeras precipitaciones,medellã­n
2022-03-01,22,10,8.0,5,ligeras precipitaciones,medellã­n
2024-03-02,27,9,6.0,6,ligeras precipitaciones,medellã­n
2023-03-02,25,10,2.0,6,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-03-02,19,10,3.6,3,ligeras precipitaciones,medellã­n
2024-03-03,28,13,1.8,7,lluvia moderada a intervalos,medellã­n
2023-03-03,25,10,2.9,4,lluvia moderada a intervalos,medellã­n
2022-03-03,21,10,1.8,5,ligeras precipitaciones,medellã­n
2024-03-04,25,12,3.8,7,ligeras precipitaciones,medellã­n
2023-03-04,22,10,5.3,4,ligeras precipitaciones,medellã­n
2022-03-04,21,11,5.3,3,ligeras precipitaciones,medellã­n
2024-03-05,25,10,6.3,7,ligeras precipitaciones,medellã­n
2023-03-05,20,9,5.3,4,ligeras precipitaciones,medellã­n
2022-03-05,21,9,4.3,3,ligeras precipitaciones,medellã­n
2020-03-05,27,12,2.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2024-03-06,24,10,4.8,6,ligeras precipitaciones,medellã­n
2023-03-06,22,11,7.1,4,ligeras precipitaciones,medellã­n
2022-03-06,20,13,5.4,3,lluvias fuertes o moderadas,medellã­n
2024-03-07,26,10,1.2,6,lluvia moderada a intervalos,medellã­n
2022-03-07,20,14,2.9,5,ligeras precipitaciones,medellã­n
2024-03-08,26,11,4.8,7,lluvia moderada a intervalos,medellã­n
2022-03-08,22,10,5.6,4,ligeras precipitaciones,medellã­n
2024-03-09,28,13,7.1,7,llovizna a intervalos,medellã­n
2022-03-09,25,14,1.3,5,niebla moderada,medellã­n
2024-03-10,24,11,5.5,5,ligeras precipitaciones,medellã­n
2022-03-10,22,10,3.0,4,ligeras precipitaciones,medellã­n
2024-03-11,25,12,5.0,7,ligeras precipitaciones,medellã­n
2022-03-11,23,10,3.0,4,lluvia moderada a intervalos,medellã­n
2024-03-12,27,12,4.9,7,lluvia moderada a intervalos,medellã­n
2022-03-12,25,11,2.1,4,lluvia moderada a intervalos,medellã­n
2024-03-13,26,12,5.0,6,ligeras precipitaciones,medellã­n
2022-03-13,21,10,4.1,3,ligeras precipitaciones,medellã­n
2022-03-14,21,11,3.2,4,ligeras precipitaciones,medellã­n
2024-03-15,23,11,6.8,4,ligeras precipitaciones,medellã­n
2022-03-15,21,10,4.8,4,ligeras precipitaciones,medellã­n
2022-03-16,22,13,3.9,4,ligeras precipitaciones,medellã­n
2024-03-17,26,11,1.7,7,lluvia moderada a intervalos,medellã­n
2022-03-17,24,14,1.6,5,ligeras precipitaciones,medellã­n
2020-03-17,26,15,1.6,5,lluvia moderada a intervalos,medellã­n
2024-03-18,26,11,6.7,5,llovizna a intervalos,medellã­n
2022-03-18,27,15,2.4,4,lluvia moderada a intervalos,medellã­n
2020-03-18,27,14,3.2,4,lluvia moderada a intervalos,medellã­n
2022-03-19,23,15,2.5,3,ligeras precipitaciones,medellã­n
2022-03-20,23,12,4.3,4,ligeras precipitaciones,medellã­n
2019-03-20,19,12,6.4,3,lluvias fuertes o moderadas,medellã­n
2023-03-21,28,9,3.2,6,lluvia moderada a intervalos,medellã­n
2020-03-21,25,14,3.6,5,lluvia moderada a intervalos,medellã­n
2024-03-22,26,10,3.1,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-03-22,26,13,2.7,4,ligeras precipitaciones,medellã­n
2020-03-22,27,12,0.5,4,lluvia moderada a intervalos,medellã­n
2024-03-23,23,11,7.0,3,ligeras precipitaciones,medellã­n
2022-03-23,22,14,5.1,4,ligeras precipitaciones,medellã­n
2020-03-23,27,13,0.8,4,lluvia moderada a intervalos,medellã­n
2022-03-24,22,15,5.3,3,ligeras precipitaciones,medellã­n
2020-03-24,27,14,3.5,5,lluvia moderada a intervalos,medellã­n
2022-03-25,22,14,3.4,2,ligeras precipitaciones,medellã­n
2022-03-26,23,14,4.5,3,ligeras precipitaciones,medellã­n
2020-03-26,27,13,3.9,5,lluvia moderada a intervalos,medellã­n
2020-03-27,27,14,1.0,5,lluvia moderada a intervalos,medellã­n
2024-03-28,28,11,3.8,6,ligeras precipitaciones,medellã­n
2022-03-28,21,15,4.9,2,ligeras precipitaciones,medellã­n
2020-03-28,26,12,7.8,4,lluvia moderada a intervalos,medellã­n
2024-03-29,26,11,2.0,8,niebla moderada,medellã­n
2022-03-29,19,11,4.4,4,ligeras precipitaciones,medellã­n
2024-03-30,27,12,2.5,7,ligeras precipitaciones,medellã­n
2022-03-30,20,10,2.0,3,ligeras precipitaciones,medellã­n
2021-03-30,23,10,4.7,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-03-31,20,10,8.0,3,ligeras precipitaciones,medellã­n
2022-04-02,25,11,5.6,4,ligeras precipitaciones,medellã­n
2022-04-03,19,10,3.6,2,ligeras precipitaciones,medellã­n
2022-04-04,23,15,4.0,3,ligeras precipitaciones,medellã­n
2022-04-06,18,11,6.6,2,ligeras precipitaciones,medellã­n
2024-04-07,23,10,6.2,6,lluvia moderada a intervalos,medellã­n
2022-04-07,19,10,3.3,4,llovizna a intervalos,medellã­n
2024-04-08,27,11,3.9,6,lluvia moderada a intervalos,medellã­n
2024-04-09,26,11,4.8,5,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
2022-04-09,23,9,3.1,5,ligeras precipitaciones,medellã­n
2024-04-10,25,11,4.0,4,lluvia moderada a intervalos,medellã­n
2022-04-10,21,10,7.2,2,ligeras precipitaciones,medellã­n
2024-04-11,24,11,5.3,6,ligeras precipitaciones,medellã­n
2022-04-11,21,10,4.6,4,intervalos de lluvias ligeras con tomenta en la regiã³n,medellã­n
